
### 场景 THR0（种子数 1；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
| M0(现方案) | 0.0661 | 0.0692 | 0.0146 | 0.2969 | 10 | 3 | 2.025 | 50341 | 0 | 167.0 | 0.084 | 103.0 |
| EVT(消融) | 0.0638 | 0.0665 | 0.0146 | 0.1774 | 6 | 3 | 1.982 | 37413 | 0 | 0.0 | 0.087 | 44.8 |
| PIv b=0.5 | 0.0642 | 0.0669 | 0.0146 | 0.1847 | 8 | 3 | 1.995 | 43110 | 0 | 39.3 | 0.087 | 66.2 |
| PIv b=1 | 0.0633 | 0.0659 | 0.0146 | 0.1403 | 6 | 3 | 2.003 | 37964 | 0 | 49.8 | 0.087 | 63.6 |
| PIp b=0.5 | 0.0647 | 0.0675 | 0.0146 | 0.2188 | 8 | 3 | 2.012 | 48471 | 51227 | 0.0 | 0.085 | 52.2 |
| PIp b=1 | 0.0648 | 0.0674 | 0.0146 | 0.1906 | 8 | 3 | 2.012 | 48298 | 52135 | 0.0 | 0.089 | 68.8 |
| WB-PI kP=200 | 0.0652 | 0.0674 | 0.0146 | 0.1517 | 8 | 3 | 2.075 | 47818 | 58343 | 0.0 | 0.100 | 63.7 |
| WB-PI中点 kP=200 | 0.0650 | 0.0674 | 0.0146 | 0.1514 | 8 | 3 | 2.074 | 47938 | 57575 | 0.0 | 0.099 | 63.6 |
| PIpCI b=0.5 | 0.0643 | 0.0670 | 0.0146 | 0.1882 | 8 | 3 | 1.997 | 49568 | 47180 | 38.0 | 0.087 | 68.2 |
| ANCH | 0.0648 | 0.0676 | 0.0146 | 0.2017 | 8 | 3 | 2.119 | 52237 | 0 | 15423.0 | 0.099 | 45.4 |
| TTS | 0.0648 | 0.0679 | 0.0146 | 0.2510 | 7 | 3 | 1.986 | 50845 | 22366 | 65.1 | 0.088 | 51.5 |
| BLEND c=0.25 | 0.0648 | 0.0678 | 0.0146 | 0.2524 | 8 | 3 | 2.015 | 46000 | 0 | 39.5 | 0.084 | 75.8 |
| M0A cu=.5 | 0.0643 | 0.0677 | 0.0063 | 0.2969 | 10 | 3 | 2.043 | 47233 | 0 | 167.0 | 0.083 | 85.2 |
| PIpA b=.5 | 0.0639 | 0.0668 | 0.0146 | 0.2188 | 8 | 3 | 2.024 | 44886 | 49218 | 0.0 | 0.085 | 52.3 |

### 场景 INT0（种子数 5；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
